user_id,device,sessions_pre,spend_pre,revenue_y0,revenue_y1
1,desktop,4,111.07,45.08,47.58
2,mobile,6,60.07,11.65,14.15
3,desktop,7,151.77,56.31,58.81
4,mobile,4,114.4,31.08,33.58
5,mobile,5,7.75,0.0,2.5
6,desktop,5,15.53,13.72,16.22
7,desktop,2,29.48,27.11,29.61
8,mobile,3,47.74,19.84,22.34
9,desktop,4,118.44,38.46,40.96
10,mobile,3,43.31,33.97,36.47
11,desktop,7,38.49,58.86,61.36
12,desktop,7,61.59,9.32,11.82
13,mobile,5,16.0,0.0,2.5
14,mobile,4,76.07,36.11,38.61
15,desktop,4,136.02,55.24,57.74
16,mobile,4,47.05,34.11,36.61
17,mobile,7,105.75,1.92,4.42
18,mobile,5,41.59,0.0,2.5
19,desktop,5,116.4,70.0,72.5
20,mobile,2,9.36,0.0,2.5
21,mobile,6,65.34,3.26,5.76
22,mobile,4,36.47,0.0,2.5
23,mobile,2,48.38,40.18,42.68
24,mobile,7,21.74,0.0,2.5
25,desktop,4,26.29,0.0,2.5
26,desktop,8,69.53,0.0,2.5
27,desktop,4,68.61,17.68,20.18
28,mobile,6,84.88,0.86,3.36
29,desktop,7,37.28,8.48,10.98
30,desktop,11,52.62,0.0,2.5
31,mobile,9,37.97,18.16,20.66
32,mobile,14,92.64,45.07,47.57
33,desktop,6,27.01,0.0,2.5
34,desktop,2,111.04,40.29,42.79
35,mobile,2,88.25,35.2,37.7
36,mobile,1,142.37,61.52,64.02
37,mobile,4,23.55,26.68,29.18
38,desktop,3,23.23,18.38,20.88
39,desktop,7,20.89,0.0,2.5
40,mobile,4,38.84,15.7,18.2
41,mobile,10,111.3,24.99,27.49
42,mobile,4,11.06,0.0,2.5
43,mobile,3,122.57,35.95,38.45
44,mobile,4,119.82,27.16,29.66
45,mobile,1,44.49,0.0,2.5
46,mobile,2,68.05,24.28,26.78
47,mobile,2,80.12,52.68,55.18
48,desktop,4,215.04,60.21,62.71
49,mobile,8,100.63,12.36,14.86
50,mobile,3,46.53,1.38,3.88
51,mobile,5,44.88,12.39,14.89
52,desktop,4,86.55,65.85,68.35
53,mobile,5,49.77,0.0,2.5
54,desktop,7,27.89,1.64,4.14
55,mobile,6,46.65,0.0,2.5
56,mobile,4,101.05,36.39,38.89
57,desktop,5,36.52,0.0,2.5
58,mobile,5,45.61,11.86,14.36
59,desktop,2,104.6,61.76,64.26
60,mobile,7,129.68,41.69,44.19
61,desktop,6,112.1,57.99,60.49
62,mobile,5,71.63,46.89,49.39
63,mobile,6,24.13,23.48,25.98
64,mobile,7,102.65,31.96,34.46
65,desktop,3,56.34,0.0,2.5
66,desktop,2,24.81,0.0,2.5
67,desktop,4,51.39,35.65,38.15
68,mobile,6,5.24,15.2,17.7
69,mobile,8,76.18,1.02,3.52
70,mobile,5,18.46,21.74,24.24
71,mobile,3,112.69,28.38,30.88
72,desktop,6,33.73,29.91,32.41
73,mobile,3,35.09,0.0,2.5
74,desktop,7,96.24,51.05,53.55
75,mobile,5,13.21,15.14,17.64
76,desktop,7,67.74,20.01,22.51
77,desktop,5,67.59,0.0,2.5
78,desktop,7,21.18,22.08,24.58
79,mobile,4,55.58,27.39,29.89
80,desktop,2,68.09,4.91,7.41
81,mobile,9,29.71,23.17,25.67
82,mobile,9,158.12,43.8,46.3
83,mobile,6,85.11,45.47,47.97
84,mobile,7,30.95,25.8,28.3
85,desktop,7,69.1,30.44,32.94
86,mobile,3,36.87,21.48,23.98
87,mobile,9,12.73,0.0,2.5
88,desktop,8,18.58,0.0,2.5
89,mobile,4,71.81,13.58,16.08
90,mobile,3,123.07,67.17,69.67
91,desktop,7,15.54,18.64,21.14
92,mobile,6,55.22,40.46,42.96
93,mobile,6,69.18,41.05,43.55
94,mobile,3,34.57,0.0,2.5
95,mobile,4,150.24,75.33,77.83
96,mobile,9,62.52,14.61,17.11
97,mobile,3,11.69,0.0,2.5
98,mobile,6,86.95,7.75,10.25
99,desktop,6,73.44,27.26,29.76
100,mobile,2,21.88,20.46,22.96
101,mobile,9,73.02,32.35,34.85
102,desktop,6,54.07,35.28,37.78
103,mobile,6,51.36,29.61,32.11
104,mobile,5,13.17,8.06,10.56
105,mobile,3,58.75,10.0,12.5
106,mobile,9,154.96,55.91,58.41
107,mobile,3,15.86,0.0,2.5
108,mobile,6,46.85,18.28,20.78
109,mobile,5,26.6,0.0,2.5
110,mobile,3,42.69,0.0,2.5
111,desktop,9,38.21,25.25,27.75
