user_id,plan,watch_time_y0,watch_time_y1,sessions_y0,sessions_y1,completion_y0,completion_y1,buffering_y0,buffering_y1
1,premium,41.359,44.359,5.226,5.276,0.3902,0.3902,6.461,6.481
2,premium,75.691,78.691,5.097,5.147,0.5797,0.5797,15.437,15.457
3,basic,57.682,60.682,7.078,7.128,0.5751,0.5751,3.214,3.234
4,premium,42.266,45.266,4.385,4.435,0.7226,0.7226,7.311,7.331
5,premium,26.068,29.068,6.97,7.02,0.4861,0.4861,4.962,4.982
6,basic,49.081,52.081,5.081,5.131,0.8708,0.8708,9.086,9.106
7,basic,66.825,69.825,7.131,7.181,0.3337,0.3337,8.044,8.064
8,basic,0.0,0.0,9.35,9.4,0.6925,0.6925,9.23,9.25
9,premium,29.633,32.633,6.184,6.234,0.222,0.222,0.0,0.0
10,basic,41.725,44.725,4.624,4.674,0.5215,0.5215,0.0,0.0
11,premium,25.734,28.734,8.311,8.361,0.5983,0.5983,10.405,10.425
12,premium,80.73,83.73,8.18,8.23,0.6643,0.6643,4.079,4.099
13,basic,79.606,82.606,8.674,8.724,0.3461,0.3461,3.762,3.782
14,basic,151.473,154.473,5.63,5.68,0.9401,0.9401,0.89,0.91
15,basic,93.782,96.782,5.886,5.936,0.5492,0.5492,0.0,0.0
16,premium,1.449,4.449,5.409,5.459,1.0,1.0,12.978,12.998
17,basic,69.462,72.462,6.821,6.871,0.4933,0.4933,16.343,16.363
18,basic,16.036,19.036,8.133,8.183,0.6615,0.6615,5.742,5.762
19,basic,1.247,4.247,4.072,4.122,0.5261,0.5261,0.0,0.0
20,premium,60.183,63.183,5.174,5.224,0.5709,0.5709,0.0,0.0
21,basic,0.0,0.0,9.369,9.419,0.4409,0.4409,11.415,11.435
22,basic,72.362,75.362,7.135,7.185,0.6409,0.6409,0.0,0.0
23,premium,10.241,13.241,7.144,7.194,0.5803,0.5803,10.534,10.554
24,basic,29.184,32.184,3.491,3.541,0.5645,0.5645,5.133,5.153
25,basic,38.328,41.328,5.511,5.561,0.2545,0.2545,0.0,0.0
26,premium,68.801,71.801,8.838,8.888,0.5931,0.5931,0.0,0.0
27,basic,30.811,33.811,4.872,4.922,0.7179,0.7179,0.0,0.0
28,premium,33.945,36.945,9.419,9.469,0.6915,0.6915,0.0,0.0
29,premium,35.347,38.347,6.627,6.677,1.0,1.0,13.418,13.438
30,basic,0.0,0.0,4.541,4.591,0.8103,0.8103,0.0,0.0
31,premium,68.704,71.704,7.133,7.183,0.3065,0.3065,7.747,7.767
32,premium,94.553,97.553,6.097,6.147,0.2729,0.2729,12.086,12.106
33,basic,62.3,65.3,7.198,7.248,0.3037,0.3037,5.747,5.767
34,premium,23.39,26.39,6.814,6.864,0.5297,0.5297,0.0,0.0
35,basic,7.003,10.003,4.536,4.586,0.3469,0.3469,5.439,5.459
36,premium,103.548,106.548,7.801,7.851,0.6317,0.6317,0.0,0.0
37,basic,51.175,54.175,3.08,3.13,0.5184,0.5184,2.837,2.857
38,basic,31.776,34.776,4.808,4.858,0.6752,0.6752,0.0,0.0
39,premium,58.846,61.846,4.518,4.568,0.3678,0.3678,1.306,1.326
40,basic,0.0,0.0,3.677,3.727,0.4001,0.4001,0.0,0.0
41,basic,0.0,0.0,7.516,7.566,0.5386,0.5386,2.893,2.913
42,basic,51.195,54.195,6.055,6.105,0.29,0.29,0.755,0.775
43,basic,58.225,61.225,5.803,5.853,0.5066,0.5066,3.769,3.789
44,premium,29.118,32.118,5.308,5.358,0.3281,0.3281,4.791,4.811
45,basic,78.948,81.948,6.902,6.952,0.1884,0.1884,0.795,0.815
46,premium,55.316,58.316,4.074,4.124,0.4609,0.4609,7.044,7.064
47,basic,37.889,40.889,7.166,7.216,0.6592,0.6592,6.844,6.864
48,premium,58.996,61.996,2.182,2.232,0.5817,0.5817,6.757,6.777
49,premium,79.423,82.423,5.536,5.586,0.4991,0.4991,7.891,7.911
50,basic,0.0,0.0,8.18,8.23,0.2862,0.2862,0.532,0.552
51,basic,24.938,27.938,7.533,7.583,0.5922,0.5922,7.427,7.447
52,premium,108.291,111.291,5.839,5.889,0.5452,0.5452,5.156,5.176
53,premium,36.385,39.385,4.013,4.063,0.9112,0.9112,0.043,0.063
54,premium,55.942,58.942,4.385,4.435,0.5589,0.5589,11.398,11.418
55,basic,0.0,0.0,4.628,4.678,0.5523,0.5523,5.196,5.216
56,premium,52.224,55.224,6.092,6.142,0.474,0.474,2.281,2.301
57,premium,89.364,92.364,4.626,4.676,0.347,0.347,11.47,11.49
58,basic,64.679,67.679,2.446,2.496,0.4775,0.4775,0.0,0.0
59,basic,4.993,7.993,7.233,7.283,0.6404,0.6404,7.179,7.199
60,basic,66.83,69.83,8.397,8.447,0.6958,0.6958,8.675,8.695
61,premium,57.745,60.745,6.116,6.166,0.4555,0.4555,5.183,5.203
62,basic,0.0,1.922,10.25,10.3,0.4462,0.4462,8.083,8.103
63,basic,47.632,50.632,6.8,6.85,0.3333,0.3333,11.559,11.579
64,basic,0.0,0.0,6.824,6.874,0.5541,0.5541,2.756,2.776
65,basic,131.764,134.764,9.723,9.773,0.2709,0.2709,0.0,0.0
66,basic,56.117,59.117,9.081,9.131,0.6563,0.6563,0.0,0.0
67,premium,34.587,37.587,8.237,8.287,0.7624,0.7624,4.921,4.941
68,basic,37.7,40.7,2.567,2.617,0.6175,0.6175,0.0,0.0
69,premium,98.735,101.735,7.937,7.987,0.5726,0.5726,6.579,6.599
70,premium,46.706,49.706,4.91,4.96,0.5081,0.5081,3.812,3.832
71,premium,71.081,74.081,6.261,6.311,0.2787,0.2787,9.203,9.223
72,premium,0.0,0.0,6.689,6.739,0.4087,0.4087,12.963,12.983
73,basic,27.275,30.275,3.664,3.714,0.4725,0.4725,7.777,7.797
74,basic,84.672,87.672,5.642,5.692,0.6024,0.6024,7.961,7.981
75,basic,45.407,48.407,7.869,7.919,0.3658,0.3658,8.037,8.057
76,basic,36.842,39.842,8.244,8.294,0.5098,0.5098,5.489,5.509
77,premium,48.399,51.399,3.622,3.672,0.6969,0.6969,12.088,12.108
78,premium,110.285,113.285,3.161,3.211,0.8295,0.8295,6.698,6.718
79,basic,14.333,17.333,6.538,6.588,0.5524,0.5524,6.816,6.836
80,basic,15.261,18.261,4.727,4.777,0.6338,0.6338,5.867,5.887
81,basic,57.655,60.655,4.236,4.286,0.4606,0.4606,3.198,3.218
82,basic,91.769,94.769,8.283,8.333,0.5731,0.5731,5.265,5.285
83,premium,0.0,0.0,4.758,4.808,0.3597,0.3597,3.733,3.753
84,basic,119.248,122.248,6.603,6.653,0.468,0.468,1.607,1.627
85,basic,34.981,37.981,7.03,7.08,0.3483,0.3483,0.0,0.0
86,basic,31.911,34.911,10.682,10.732,0.4498,0.4498,10.994,11.014
87,basic,11.025,14.025,4.641,4.691,0.5591,0.5591,4.302,4.322
88,basic,78.03,81.03,5.644,5.694,0.5794,0.5794,10.215,10.235
89,premium,59.347,62.347,6.519,6.569,0.7333,0.7333,0.819,0.839
90,basic,0.0,0.0,4.14,4.19,0.3741,0.3741,20.125,20.145
91,premium,80.137,83.137,8.521,8.571,0.4578,0.4578,10.525,10.545
92,basic,22.883,25.883,3.545,3.595,0.7859,0.7859,0.0,0.0
93,basic,79.752,82.752,7.269,7.319,0.7408,0.7408,3.61,3.63
94,basic,115.011,118.011,7.521,7.571,0.7674,0.7674,5.292,5.312
95,premium,26.118,29.118,7.355,7.405,0.4637,0.4637,3.107,3.127
96,basic,58.309,61.309,9.582,9.632,0.6312,0.6312,0.0,0.0
97,basic,73.107,76.107,4.149,4.199,0.5283,0.5283,4.395,4.415
98,basic,80.375,83.375,8.447,8.497,0.7412,0.7412,3.557,3.577
99,premium,101.219,104.219,8.107,8.157,0.2411,0.2411,10.58,10.6
100,basic,79.809,82.809,6.156,6.206,0.3876,0.3876,6.103,6.123
101,basic,0.0,0.0,8.047,8.097,0.4522,0.4522,2.377,2.397
102,premium,106.196,109.196,6.898,6.948,0.5667,0.5667,0.0,0.0
103,basic,27.584,30.584,8.439,8.489,0.4502,0.4502,0.0,0.0
104,basic,64.613,67.613,4.279,4.329,0.4128,0.4128,11.902,11.922
105,basic,75.838,78.838,8.202,8.252,0.2564,0.2564,2.318,2.338
106,basic,96.054,99.054,5.869,5.919,0.518,0.518,6.698,6.718
107,premium,17.623,20.623,5.362,5.412,0.2146,0.2146,1.793,1.813
108,premium,61.159,64.159,7.761,7.811,0.9284,0.9284,0.0,0.0
109,basic,18.588,21.588,6.446,6.496,0.4353,0.4353,8.613,8.633
110,premium,74.65,77.65,5.317,5.367,0.3754,0.3754,0.0,0.0
111,basic,61.262,64.262,5.781,5.831,0.7785,0.7785,6.005,6.025
112,premium,81.02,84.02,5.533,5.583,0.7167,0.7167,0.0,0.0
113,basic,55.236,58.236,3.963,4.013,0.552,0.552,4.718,4.738
114,basic,42.875,45.875,1.073,1.123,0.097,0.097,6.667,6.687
115,premium,72.485,75.485,4.006,4.056,0.5978,0.5978,5.571,5.591
116,basic,52.363,55.363,13.083,13.133,0.2674,0.2674,0.0,0.0
117,premium,55.039,58.039,6.64,6.69,0.6707,0.6707,0.0,0.0
118,basic,2.019,5.019,7.019,7.069,0.6133,0.6133,0.0,0.0
119,basic,59.085,62.085,5.159,5.209,0.4533,0.4533,0.0,0.0
120,basic,87.34,90.34,2.663,2.713,0.8342,0.8342,3.415,3.435
121,basic,0.0,0.849,7.503,7.553,0.5974,0.5974,1.048,1.068
122,basic,0.0,0.0,6.593,6.643,0.5086,0.5086,0.0,0.0
123,basic,138.833,141.833,4.605,4.655,0.4369,0.4369,0.0,0.0
124,basic,64.067,67.067,4.514,4.564,0.7848,0.7848,0.771,0.791
125,premium,102.35,105.35,4.885,4.935,0.2962,0.2962,2.005,2.025
126,premium,45.539,48.539,7.084,7.134,0.3811,0.3811,1.764,1.784
127,basic,6.586,9.586,7.858,7.908,0.826,0.826,11.616,11.636
128,basic,28.597,31.597,6.368,6.418,0.4782,0.4782,6.413,6.433
129,basic,48.378,51.378,5.329,5.379,0.4763,0.4763,0.0,0.0
130,basic,0.0,0.0,8.196,8.246,0.3401,0.3401,5.131,5.151
131,basic,43.254,46.254,7.502,7.552,0.3139,0.3139,10.213,10.233
132,premium,28.089,31.089,5.679,5.729,0.5642,0.5642,2.693,2.713
133,basic,77.612,80.612,3.976,4.026,0.4945,0.4945,5.446,5.466
134,premium,48.942,51.942,7.234,7.284,0.7648,0.7648,2.882,2.902
135,premium,10.581,13.581,3.442,3.492,0.7648,0.7648,8.527,8.547
136,premium,9.922,12.922,2.962,3.012,0.557,0.557,0.0,0.0
137,basic,38.299,41.299,7.182,7.232,0.5474,0.5474,11.343,11.363
138,premium,13.034,16.034,8.711,8.761,0.7778,0.7778,8.671,8.691
139,premium,92.006,95.006,9.777,9.827,0.3485,0.3485,11.032,11.052
140,basic,47.347,50.347,6.208,6.258,0.6481,0.6481,0.724,0.744
141,basic,0.0,0.0,10.229,10.279,0.7946,0.7946,8.347,8.367
142,basic,0.0,0.0,3.498,3.548,0.4974,0.4974,4.932,4.952
143,basic,102.81,105.81,2.472,2.522,0.2301,0.2301,8.892,8.912
144,basic,61.926,64.926,6.995,7.045,0.2508,0.2508,1.295,1.315
145,premium,89.733,92.733,2.069,2.119,0.7321,0.7321,5.842,5.862
146,basic,117.97,120.97,8.294,8.344,0.5558,0.5558,2.446,2.466
147,premium,82.776,85.776,6.156,6.206,0.6232,0.6232,4.387,4.407
148,basic,0.0,0.0,6.273,6.323,0.5259,0.5259,10.224,10.244
149,basic,17.454,20.454,2.145,2.195,0.8371,0.8371,2.569,2.589
150,premium,52.543,55.543,7.591,7.641,0.825,0.825,8.607,8.627
151,premium,35.016,38.016,5.404,5.454,0.7012,0.7012,3.416,3.436
152,basic,18.728,21.728,4.753,4.803,0.3127,0.3127,10.088,10.108
153,premium,58.707,61.707,3.333,3.383,0.7272,0.7272,2.697,2.717
154,premium,92.297,95.297,6.611,6.661,0.5878,0.5878,0.0,0.0
155,premium,44.724,47.724,7.932,7.982,0.6771,0.6771,0.214,0.234
156,basic,0.0,0.0,5.667,5.717,0.6514,0.6514,3.511,3.531
157,basic,54.353,57.353,6.728,6.778,0.6545,0.6545,11.596,11.616
158,basic,0.0,0.0,2.545,2.595,0.2857,0.2857,6.342,6.362
159,basic,0.0,0.0,5.176,5.226,0.6478,0.6478,13.6,13.62
160,premium,37.428,40.428,4.519,4.569,0.6816,0.6816,10.926,10.946
161,basic,40.198,43.198,12.193,12.243,0.5247,0.5247,3.812,3.832
162,basic,1.596,4.596,7.776,7.826,0.287,0.287,8.526,8.546
163,premium,28.969,31.969,7.278,7.328,0.6597,0.6597,12.222,12.242
164,basic,0.0,0.0,7.627,7.677,0.6704,0.6704,5.609,5.629
165,basic,18.938,21.938,3.757,3.807,0.5986,0.5986,2.421,2.441
166,basic,32.243,35.243,7.149,7.199,0.3689,0.3689,3.549,3.569
167,premium,41.66,44.66,6.656,6.706,0.5323,0.5323,9.077,9.097
168,premium,52.486,55.486,5.803,5.853,0.2517,0.2517,8.241,8.261
169,premium,26.68,29.68,7.46,7.51,0.6961,0.6961,2.991,3.011
170,basic,2.692,5.692,3.826,3.876,0.6214,0.6214,3.355,3.375
171,basic,31.957,34.957,7.221,7.271,0.5703,0.5703,2.237,2.257
172,basic,40.958,43.958,4.87,4.92,0.6057,0.6057,10.437,10.457
173,premium,0.0,0.0,5.105,5.155,0.4494,0.4494,2.316,2.336
174,basic,57.382,60.382,5.506,5.556,0.5341,0.5341,9.488,9.508
175,premium,96.223,99.223,3.585,3.635,0.5307,0.5307,1.325,1.345
176,basic,0.0,0.0,5.533,5.583,0.7249,0.7249,2.819,2.839
177,basic,0.0,0.0,8.121,8.171,0.6249,0.6249,10.002,10.022
178,basic,0.0,0.0,3.331,3.381,0.7712,0.7712,7.988,8.008
179,basic,22.918,25.918,6.091,6.141,0.6924,0.6924,6.592,6.612
180,basic,77.215,80.215,5.679,5.729,0.8266,0.8266,0.0,0.0
181,basic,52.019,55.019,5.331,5.381,0.5123,0.5123,3.301,3.321
182,basic,71.059,74.059,2.503,2.553,0.6518,0.6518,3.437,3.457
183,basic,17.665,20.665,4.95,5.0,0.6506,0.6506,4.359,4.379
184,basic,40.281,43.281,7.918,7.968,0.6859,0.6859,3.294,3.314
185,basic,0.0,0.0,9.51,9.56,0.6047,0.6047,2.617,2.637
186,basic,49.91,52.91,2.669,2.719,0.2048,0.2048,3.441,3.461
187,premium,33.692,36.692,9.21,9.26,0.6359,0.6359,4.885,4.905
188,basic,0.0,0.0,3.199,3.249,0.4571,0.4571,0.0,0.0
189,basic,24.68,27.68,9.086,9.136,0.704,0.704,6.939,6.959
190,basic,44.767,47.767,5.931,5.981,0.8518,0.8518,0.0,0.0
191,basic,89.99,92.99,8.432,8.482,0.3192,0.3192,0.0,0.0
192,premium,35.801,38.801,9.44,9.49,0.6591,0.6591,0.748,0.768
193,basic,139.843,142.843,4.248,4.298,0.5392,0.5392,0.0,0.0
194,basic,69.386,72.386,5.65,5.7,0.5855,0.5855,2.318,2.338
195,basic,40.378,43.378,4.591,4.641,0.1014,0.1014,0.0,0.0
196,basic,25.449,28.449,7.864,7.914,0.4079,0.4079,0.46,0.48
197,basic,21.369,24.369,5.8,5.85,0.5087,0.5087,8.424,8.444
198,basic,0.0,0.0,6.6,6.65,0.7312,0.7312,5.281,5.301
199,premium,16.255,19.255,9.194,9.244,0.5548,0.5548,10.989,11.009
200,basic,40.012,43.012,6.86,6.91,0.2841,0.2841,15.392,15.412
201,premium,86.214,89.214,6.438,6.488,0.5225,0.5225,0.711,0.731
202,basic,4.216,7.216,6.589,6.639,0.6927,0.6927,9.858,9.878
203,basic,100.196,103.196,7.629,7.679,0.7949,0.7949,8.383,8.403
204,premium,4.507,7.507,7.519,7.569,0.5326,0.5326,9.882,9.902
205,basic,66.64,69.64,5.693,5.743,0.5211,0.5211,0.0,0.0
206,basic,56.881,59.881,5.534,5.584,0.5757,0.5757,6.442,6.462
207,premium,44.604,47.604,2.624,2.674,0.5616,0.5616,8.597,8.617
208,premium,41.82,44.82,4.604,4.654,0.5791,0.5791,10.196,10.216
209,basic,28.38,31.38,7.079,7.129,0.6377,0.6377,0.993,1.013
210,basic,10.119,13.119,3.805,3.855,0.4077,0.4077,0.545,0.565
211,basic,104.686,107.686,3.448,3.498,0.7444,0.7444,0.0,0.0
212,basic,0.0,0.0,8.79,8.84,0.8258,0.8258,6.8,6.82
213,basic,0.0,0.0,7.688,7.738,0.5922,0.5922,15.94,15.96
214,basic,93.887,96.887,11.569,11.619,0.4839,0.4839,1.835,1.855
215,basic,57.845,60.845,6.522,6.572,0.3493,0.3493,8.326,8.346
216,premium,111.587,114.587,7.289,7.339,0.5883,0.5883,13.333,13.353
217,basic,102.674,105.674,6.653,6.703,0.5528,0.5528,3.905,3.925
218,premium,43.773,46.773,6.434,6.484,0.5293,0.5293,2.905,2.925
219,basic,0.0,0.0,4.318,4.368,0.4178,0.4178,8.701,8.721
220,premium,74.022,77.022,10.416,10.466,0.255,0.255,14.368,14.388
221,premium,17.751,20.751,4.24,4.29,0.6828,0.6828,2.219,2.239
222,basic,29.332,32.332,6.728,6.778,0.5346,0.5346,12.588,12.608
223,basic,55.507,58.507,7.135,7.185,0.7132,0.7132,0.0,0.0
224,basic,36.809,39.809,7.847,7.897,0.4713,0.4713,9.534,9.554
225,basic,49.596,52.596,5.296,5.346,0.637,0.637,0.0,0.0
226,basic,0.0,0.0,7.737,7.787,0.3199,0.3199,1.764,1.784
227,basic,84.804,87.804,2.273,2.323,0.7692,0.7692,2.028,2.048
228,basic,44.455,47.455,6.012,6.062,0.6645,0.6645,0.0,0.0
229,basic,0.0,0.0,5.717,5.767,0.9018,0.9018,4.909,4.929
230,basic,26.192,29.192,6.734,6.784,0.7571,0.7571,9.017,9.037
231,basic,75.455,78.455,6.16,6.21,0.7394,0.7394,8.846,8.866
232,basic,36.993,39.993,3.928,3.978,0.3881,0.3881,5.531,5.551
233,basic,81.056,84.056,7.566,7.616,0.6692,0.6692,0.0,0.0
234,basic,0.0,0.0,7.585,7.635,0.5381,0.5381,0.0,0.0
235,basic,0.0,0.0,5.393,5.443,0.4482,0.4482,2.415,2.435
236,basic,11.275,14.275,5.839,5.889,0.4777,0.4777,7.387,7.407
237,basic,81.419,84.419,8.043,8.093,0.6821,0.6821,1.871,1.891
238,basic,0.0,0.0,6.365,6.415,0.7339,0.7339,3.266,3.286
239,basic,21.697,24.697,5.198,5.248,0.7109,0.7109,3.137,3.157
240,basic,30.395,33.395,7.278,7.328,0.2776,0.2776,7.854,7.874
241,basic,47.67,50.67,5.117,5.167,0.6034,0.6034,3.038,3.058
242,basic,90.402,93.402,4.148,4.198,0.5286,0.5286,2.028,2.048
243,premium,58.823,61.823,6.015,6.065,0.6279,0.6279,4.257,4.277
244,basic,86.069,89.069,7.117,7.167,0.3437,0.3437,7.867,7.887
245,basic,35.388,38.388,7.258,7.308,0.6092,0.6092,0.501,0.521
246,basic,34.435,37.435,5.374,5.424,0.3133,0.3133,4.513,4.533
247,basic,41.179,44.179,2.339,2.389,0.5844,0.5844,0.983,1.003
248,basic,62.873,65.873,7.268,7.318,0.6282,0.6282,0.0,0.0
249,premium,33.281,36.281,10.089,10.139,0.5139,0.5139,3.547,3.567
250,basic,63.471,66.471,4.857,4.907,0.2664,0.2664,0.0,0.0
251,basic,124.286,127.286,8.449,8.499,0.5319,0.5319,7.337,7.357
252,premium,99.315,102.315,6.525,6.575,0.6356,0.6356,10.345,10.365
253,basic,0.0,0.0,8.509,8.559,0.9118,0.9118,0.0,0.0
254,basic,0.0,0.0,6.587,6.637,0.7861,0.7861,8.902,8.922
255,basic,67.151,70.151,5.523,5.573,0.7609,0.7609,4.886,4.906
256,premium,54.593,57.593,4.209,4.259,0.3864,0.3864,2.228,2.248
257,basic,71.838,74.838,7.033,7.083,0.7423,0.7423,2.72,2.74
